city,device,gender,age_min,age_max,age_bracket,count
bedford,desktop,female,13,17,13-17,2800
bedford,desktop,female,18,24,18-24,6400
bedford,desktop,female,25,34,25-34,6200
bedford,desktop,female,35,44,35-44,5600
bedford,desktop,female,45,54,45-54,4800
bedford,desktop,female,55,64,55-64,3000
bedford,desktop,female,65,,65+,2200
bedford,mobile,all,,,all,64000
bedford,mobile,all,13,17,13-17,6800
bedford,mobile,all,18,24,18-24,17000
bedford,mobile,all,25,34,25-34,17400
bedford,mobile,all,35,44,35-44,12600
bedford,mobile,all,45,54,45-54,10200
bedford,mobile,all,55,64,55-64,4800
bedford,mobile,all,65,,65+,3000
bedford,mobile,male,,,all,30000
bedford,mobile,male,13,17,13-17,3000
bedford,mobile,male,18,24,18-24,8200
bedford,mobile,male,25,34,25-34,8400
bedford,mobile,male,35,44,35-44,5600
bedford,mobile,male,45,54,45-54,4600
bedford,mobile,male,55,64,55-64,2000
bedford,mobile,male,65,,65+,1260
bedford,mobile,female,,,all,34000
bedford,mobile,female,13,17,13-17,3800
bedford,mobile,female,18,24,18-24,8800
bedford,mobile,female,25,34,25-34,8800
bedford,mobile,female,35,44,35-44,6800
bedford,mobile,female,45,54,45-54,5400
bedford,mobile,female,55,64,55-64,2600
bedford,mobile,female,65,,65+,1680
maidstone,all,all,,,all,70000
maidstone,all,all,13,17,13-17,5800
maidstone,all,all,18,24,18-24,15800
maidstone,all,all,25,34,25-34,17600
maidstone,all,all,35,44,35-44,14000
maidstone,all,all,45,54,45-54,11600
maidstone,all,all,55,64,55-64,6600
maidstone,all,all,65,,65+,4800
maidstone,all,male,,,all,34000
maidstone,all,male,13,17,13-17,2600
maidstone,all,male,18,24,18-24,8000
maidstone,all,male,25,34,25-34,8800
maidstone,all,male,35,44,35-44,6600
maidstone,all,male,45,54,45-54,4800
maidstone,all,male,55,64,55-64,2800
maidstone,all,male,65,,65+,2200
maidstone,all,female,,,all,36000
maidstone,all,female,13,17,13-17,3000
maidstone,all,female,18,24,18-24,7800
maidstone,all,female,25,34,25-34,8600
maidstone,all,female,35,44,35-44,7200
maidstone,all,female,45,54,45-54,6400
maidstone,all,female,55,64,55-64,3600
maidstone,all,female,65,,65+,2600
maidstone,desktop,all,,,all,48000
maidstone,desktop,all,13,17,13-17,3800
maidstone,desktop,all,18,24,18-24,10200
maidstone,desktop,all,25,34,25-34,10800
maidstone,desktop,all,35,44,35-44,9000
maidstone,desktop,all,45,54,45-54,8200
maidstone,desktop,all,55,64,55-64,5000
maidstone,desktop,all,65,,65+,4000
maidstone,desktop,male,,,all,22000
maidstone,desktop,male,13,17,13-17,1680
maidstone,desktop,male,18,24,18-24,4800
maidstone,desktop,male,25,34,25-34,5200
maidstone,desktop,male,35,44,35-44,4200
maidstone,desktop,male,45,54,45-54,3400
maidstone,desktop,male,55,64,55-64,2200
maidstone,desktop,male,65,,65+,1800
maidstone,desktop,female,,,all,24000
maidstone,desktop,female,13,17,13-17,2200
maidstone,desktop,female,18,24,18-24,5200
maidstone,desktop,female,25,34,25-34,5400
maidstone,desktop,female,35,44,35-44,4600
maidstone,desktop,female,45,54,45-54,4600
maidstone,desktop,female,55,64,55-64,2800
maidstone,desktop,female,65,,65+,2200
maidstone,mobile,all,,,all,58000
maidstone,mobile,all,13,17,13-17,5200
maidstone,mobile,all,18,24,18-24,14400
maidstone,mobile,all,25,34,25-34,15800
maidstone,mobile,all,35,44,35-44,11600
maidstone,mobile,all,45,54,45-54,8800
maidstone,mobile,all,55,64,55-64,4400
maidstone,mobile,all,65,,65+,2600
maidstone,mobile,male,,,all,26000
maidstone,mobile,male,13,17,13-17,2400
maidstone,mobile,male,18,24,18-24,7000
maidstone,mobile,male,25,34,25-34,7600
maidstone,mobile,male,35,44,35-44,5400
maidstone,mobile,male,45,54,45-54,3800
maidstone,mobile,male,55,64,55-64,1840
maidstone,mobile,male,65,,65+,1080
maidstone,mobile,female,,,all,30000
maidstone,mobile,female,13,17,13-17,3000
maidstone,mobile,female,18,24,18-24,7400
maidstone,mobile,female,25,34,25-34,8000
maidstone,mobile,female,35,44,35-44,6200
maidstone,mobile,female,45,54,45-54,5000
maidstone,mobile,female,55,64,55-64,2400
maidstone,mobile,female,65,,65+,1360
reading,all,all,,,all,164000
reading,all,all,13,17,13-17,12400
reading,all,all,18,24,18-24,40000
reading,all,all,25,34,25-34,46000
reading,all,all,35,44,35-44,34000
reading,all,all,45,54,45-54,24000
reading,all,all,55,64,55-64,12000
reading,all,all,65,,65+,8600
reading,all,male,,,all,78000
reading,all,male,13,17,13-17,5600
reading,all,male,18,24,18-24,19600
reading,all,male,25,34,25-34,22000
reading,all,male,35,44,35-44,16200
reading,all,male,45,54,45-54,11000
reading,all,male,55,64,55-64,5200
reading,all,male,65,,65+,4200
reading,all,female,,,all,82000
reading,all,female,13,17,13-17,6600
reading,all,female,18,24,18-24,19200
reading,all,female,25,34,25-34,22000
reading,all,female,35,44,35-44,16400
reading,all,female,45,54,45-54,12200
reading,all,female,55,64,55-64,6400
reading,all,female,65,,65+,4000
reading,desktop,all,,,all,114000
reading,desktop,all,13,17,13-17,8200
reading,desktop,all,18,24,18-24,28000
reading,desktop,all,25,34,25-34,30000
reading,desktop,all,35,44,35-44,22000
reading,desktop,all,45,54,45-54,17600
reading,desktop,all,55,64,55-64,9600
reading,desktop,all,65,,65+,6800
reading,desktop,male,,,all,56000
reading,desktop,male,13,17,13-17,3800
reading,desktop,male,18,24,18-24,14200
reading,desktop,male,25,34,25-34,14400
reading,desktop,male,35,44,35-44,11000
reading,desktop,male,45,54,45-54,8000
reading,desktop,male,55,64,55-64,4200
reading,desktop,male,65,,65+,3400
reading,desktop,female,,,all,58000
reading,desktop,female,13,17,13-17,4400
reading,desktop,female,18,24,18-24,13800
reading,desktop,female,25,34,25-34,15200
reading,desktop,female,35,44,35-44,10800
reading,desktop,female,45,54,45-54,9000
reading,desktop,female,55,64,55-64,5200
reading,desktop,female,65,,65+,3200
reading,mobile,all,,,all,134000
reading,mobile,all,13,17,13-17,11200
reading,mobile,all,18,24,18-24,36000
reading,mobile,all,25,34,25-34,40000
reading,mobile,all,35,44,35-44,28000
reading,mobile,all,45,54,45-54,18200
reading,mobile,all,55,64,55-64,7600
reading,mobile,all,65,,65+,4800
reading,mobile,male,,,all,64000
reading,mobile,male,13,17,13-17,5000
reading,mobile,male,18,24,18-24,17400
reading,mobile,male,25,34,25-34,19200
reading,mobile,male,35,44,35-44,13600
reading,mobile,male,45,54,45-54,8000
reading,mobile,male,55,64,55-64,3200
reading,mobile,male,65,,65+,2200
reading,mobile,female,,,all,68000
reading,mobile,female,13,17,13-17,6200
reading,mobile,female,18,24,18-24,17800
reading,mobile,female,25,34,25-34,20000
reading,mobile,female,35,44,35-44,14200
reading,mobile,female,45,54,45-54,9600
reading,mobile,female,55,64,55-64,4200
reading,mobile,female,65,,65+,2400
