Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK443LN,1,0,1,1,1,N/A,N/A,N/A
MK443LQ,15,8,7,6,4,7.9,7.9,8.1
MK443LR,68,31,37,29,17,6.4,7.5,8.1
MK443LS,31,17,14,11,11,6.5,7,8.1
MK443LT,24,10,14,10,10,7.8,8.1,8.1
MK443LU,121,53,68,48,39,6.7,7.4,8.1
MK443LX,7,3,4,6,2,N/A,N/A,N/A
MK443LY,12,7,5,4,2,N/A,N/A,N/A
MK443NA,4,1,3,3,4,7.5,7.5,7.6
MK443NB,31,16,15,12,13,6.6,7.4,8.1
MK443ND,92,48,44,35,27,6.9,7.4,8.1
MK443NE,12,5,7,5,2,N/A,N/A,N/A
MK443NF,26,11,15,9,9,7.3,7.8,8.1
MK443NG,54,31,23,20,18,7.1,7.1,16.2
MK443NH,36,18,18,18,16,6.9,7.1,8.1
MK443NJ,57,31,26,27,22,7.1,7.4,8.1
MK443NL,37,21,16,17,15,7.3,7.6,8.1
MK443NN,82,40,42,31,24,6.3,6.8,8.1
MK443NP,5,1,4,4,2,N/A,N/A,N/A
MK443NQ,15,8,7,6,6,5.6,5.7,7.6
MK443NR,34,19,15,15,15,6.4,7.2,8.1
MK443NS,40,19,21,17,15,7.3,7.5,8.1
MK443NT,61,32,29,22,15,6.2,6.2,8.1
MK443NU,8,3,5,2,1,N/A,N/A,N/A
MK443NW,21,12,9,8,8,6.1,7.2,8.1
MK443NX,82,41,41,31,27,6.8,7.6,8.1
MK443NY,53,21,32,37,15,5.8,5.1,8.1
MK443NZ,54,25,29,23,13,6.6,6.8,8.1
MK443PA,2,1,1,1,<3,N/A,N/A,N/A
MK443PB,51,22,29,22,18,5.5,6.2,8.1
MK443PD,33,17,16,13,11,6.7,6.9,8.1
MK443PH,15,8,7,5,5,6.2,5.7,8.1
MK443PL,29,13,16,18,10,7.6,7.6,8.1
MK443PN,59,29,30,19,17,7.3,8.1,8.1
MK443PP,42,22,20,22,17,4.2,4,7.2
MK443PR,49,27,22,15,13,4.4,5.1,7.6
MK443PS,16,8,8,7,7,2.9,2.8,5.1
MK443PT,8,3,5,5,3,4.1,4.4,5.1
MK443PU,59,23,36,27,19,3.1,3.4,5.7
MK443PW,12,8,4,3,3,5.5,7.4,8.1
MK443PX,21,12,9,9,11,4.3,4.3,14.3
MK443PY,23,11,12,12,5,3.8,4.2,5.1
MK443QA,15,7,8,6,7,2.5,2.8,4.2
MK443QB,30,15,15,13,12,3.4,3.9,5.7
MK443QD,46,25,21,19,21,3.2,3.3,6.2
MK443QG,88,39,49,32,32,2.3,2.3,4
MK443QH,85,44,41,34,27,2.7,2.3,6.1
